step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
107,0.24896,0.84128,,
108,0.24984,0.85136,,
109,0.2395,0.87264,,
110,0.24173,0.88308,,
111,0.24683,0.85703,,
112,0.25463,0.85056,,
113,0.23457,0.88331,,
114,0.24917,0.86227,,
115,0.25125,0.85419,,
116,0.23335,0.88618,,
117,0.24654,0.86053,,
118,0.26348,0.84077,,
119,0.25232,0.84719,,
120,0.24601,0.85653,,
121,0.23204,0.88636,,
122,0.25242,0.86197,,
123,0.25677,0.83239,,
124,0.24315,0.8622,,
125,0.24959,0.84645,,
126,0.2568,0.83496,,
127,0.24527,0.85943,,
128,0.23913,0.87433,,
129,0.24105,0.86239,,
130,0.24607,0.86355,,
131,0.24629,0.8777,,
132,0.24514,0.85868,,
133,0.24962,0.87293,,
134,0.24924,0.85494,,
135,0.24292,0.8636,,
136,0.24079,0.87765,,
137,0.22869,0.88744,,
138,0.2418,0.85755,,
139,0.26423,0.84667,,
140,0.2704,0.86329,,
141,0.2458,0.87582,,
142,0.26011,0.85012,,
143,0.23889,0.87419,,
144,0.25083,0.86297,,
145,0.24082,0.87246,,
146,0.24737,0.8666,,
147,0.23442,0.85264,,
148,0.24031,0.85544,,
149,0.23257,0.8817,,
150,0.23987,0.86612,,
151,0.23321,0.86063,,
152,0.24357,0.86972,,
153,0.27022,0.84203,,
154,0.2477,0.85657,,
155,0.24644,0.85913,,
156,0.23409,0.87502,,
157,0.25164,0.85523,,
158,0.23575,0.87426,,
159,0.22531,0.88969,,
160,0.2361,0.87533,,
161,0.22615,0.89145,,
162,0.23563,0.87523,,
163,0.25356,0.86109,,
164,0.24892,0.85381,,
165,0.24264,0.86767,,
166,0.23428,0.86278,,
167,0.23454,0.87177,,
168,0.23446,0.86858,,
169,0.23995,0.86719,,
170,0.2352,0.87321,,
171,0.22697,0.86489,,
172,0.24869,0.88392,,
173,0.23205,0.89037,,
174,0.2353,0.88628,,
175,0.22534,0.85848,,
176,0.21895,0.87508,,
177,0.21845,0.87826,,
178,0.23379,0.86921,,
179,0.22362,0.88577,,
180,0.21573,0.89325,,
181,0.22709,0.88235,,
182,0.23802,0.86409,,
183,0.25071,0.87218,,
184,0.23366,0.86646,,
185,0.23129,0.87765,,
186,0.21714,0.89317,,
187,0.20912,0.88109,,
188,0.2278,0.87731,,
189,0.23961,0.86125,,
190,0.22956,0.88654,,
191,0.23887,0.87372,,
192,0.24688,0.84104,,
193,0.217,0.89357,,
194,0.23065,0.89482,,
195,0.23505,0.87868,,
196,0.23209,0.86469,,
197,0.23506,0.86481,,
198,0.22703,0.86914,,
199,0.22425,0.88094,,
200,0.22229,0.87981,,
201,0.21817,0.88144,0.23211,0.61856
202,0.23557,0.85912,,
203,0.22319,0.88125,,
204,0.21211,0.88068,,
205,0.22721,0.87492,,
206,0.2307,0.88565,,
207,0.21476,0.87828,,
208,0.23258,0.85747,,
209,0.25138,0.86123,,
210,0.20253,0.89588,,
211,0.21973,0.8839,,
212,0.2268,0.87502,,
213,0.23746,0.88061,,
214,0.22761,0.88541,,
215,0.21109,0.90198,,
216,0.22357,0.88233,,
217,0.22174,0.89509,,
218,0.19922,0.89005,,
219,0.19454,0.92235,,
220,0.23693,0.86279,,
221,0.21707,0.88651,,
222,0.24103,0.8913,,
223,0.22058,0.89033,,
224,0.21617,0.88026,,
225,0.20528,0.89653,,
226,0.20805,0.8875,,
227,0.23977,0.8666,,
228,0.222,0.8651,,
229,0.20628,0.89089,,
230,0.21113,0.89969,,
231,0.23373,0.86453,,
232,0.22856,0.89234,,
233,0.22688,0.87808,,
234,0.22368,0.88967,,
235,0.22124,0.88631,,
236,0.21746,0.88406,,
237,0.19763,0.89492,,
238,0.20453,0.88807,,
239,0.2295,0.87688,,
240,0.22324,0.88297,,
241,0.21622,0.88245,,
242,0.21889,0.8895,,
243,0.22995,0.8706,,
244,0.21763,0.87503,,
245,0.21681,0.90161,,
246,0.21187,0.87485,,
247,0.19054,0.89097,,
248,0.21403,0.86889,,
249,0.2027,0.89015,,
250,0.19307,0.88665,,
251,0.2293,0.87628,,
252,0.21291,0.88217,,
253,0.22976,0.89921,,
254,0.22119,0.88502,,
255,0.22451,0.86374,,
256,0.21623,0.88432,,
257,0.20773,0.89611,,
258,0.24944,0.87194,,
259,0.23949,0.86814,,
260,0.23761,0.88315,,
261,0.21378,0.89288,,
262,0.23221,0.86912,,
263,0.21044,0.87636,,
264,0.22326,0.89956,,
265,0.20705,0.88552,,
266,0.22267,0.8743,,
267,0.21106,0.88502,,
268,0.18834,0.89424,,
269,0.21885,0.86452,,
270,0.21345,0.87852,,
271,0.18262,0.92831,,
272,0.23009,0.87354,,
273,0.23116,0.86221,,
274,0.23376,0.87075,,
275,0.20626,0.89902,,
276,0.21396,0.8879,,
277,0.22304,0.87368,,
278,0.21326,0.87716,,
279,0.21486,0.88329,,
280,0.20423,0.9124,,
281,0.20362,0.88934,,
282,0.19712,0.89625,,
283,0.21152,0.89543,,
284,0.21864,0.88316,,
285,0.20082,0.88394,,
286,0.20319,0.88828,,
287,0.19859,0.88994,,
288,0.22105,0.88217,,
289,0.20707,0.88648,,
290,0.22284,0.89047,,
291,0.2133,0.8801,,
292,0.20289,0.89519,,
293,0.19665,0.91264,,
294,0.20885,0.88497,,
295,0.20225,0.87389,,
296,0.2174,0.88002,,
297,0.21325,0.89715,,
298,0.18817,0.89572,,
299,0.1949,0.89523,,
300,0.2037,0.89513,,
301,0.20831,0.88446,0.20496,0.66262
302,0.2095,0.8959,,
303,0.19097,0.88472,,
304,0.19402,0.91872,,
305,0.20248,0.89044,,
306,0.20251,0.88868,,
307,0.18461,0.91033,,
308,0.2091,0.88307,,
309,0.1859,0.91572,,
310,0.23091,0.86532,,
311,0.19802,0.88589,,
312,0.186,0.8912,,
313,0.1924,0.88845,,
314,0.19221,0.89392,,
315,0.17423,0.91292,,
316,0.20069,0.89464,,
317,0.21381,0.88228,,
318,0.21631,0.89865,,
319,0.18895,0.88896,,
320,0.21162,0.88085,,
321,0.20915,0.89083,,
322,0.21137,0.8678,,
323,0.20547,0.89051,,
324,0.19415,0.89269,,
325,0.19186,0.89943,,
326,0.20486,0.89451,,
327,0.18396,0.89591,,
328,0.19698,0.89521,,
329,0.18172,0.91976,,
330,0.19975,0.88761,,
331,0.20419,0.88451,,
332,0.18083,0.90765,,
333,0.19293,0.90434,,
334,0.17256,0.8938,,
335,0.17708,0.90084,,
336,0.17563,0.90967,,
337,0.21098,0.89241,,
338,0.17437,0.91278,,
