step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,0.0491,0.98907,0.04488,0.73333
2,0.07133,0.96296,,
3,0.02549,0.98958,,
4,0.04995,0.9801,,
5,0.04427,0.97778,,
6,0.01774,0.99471,,
7,0.05139,0.97163,,
8,0.05406,0.96618,,
9,0.01746,0.99502,,
10,0.01288,0.99383,,
11,0.00683,0.99371,,
12,0.01359,0.98693,,
13,0.03046,0.99479,,
14,0.05024,0.97015,,
15,0.02631,0.98182,,
16,0.0304,0.97872,,
17,0.04675,0.98551,,
18,0.06517,0.98718,,
19,0.05018,0.98529,,
20,0.044,0.98462,,
21,0.08361,0.95699,,
22,0.04432,0.97475,,
23,0.01301,0.99383,,
24,0.0195,0.98942,,
25,0.01508,0.98113,,
26,0.0341,0.97585,,
27,0.03669,0.97585,,
28,0.01919,0.99048,,
29,0.02842,0.98413,,
30,0.04196,0.98907,,
31,0.02363,0.99495,,
32,0.0176,0.98462,,
33,0.0922,0.97175,,
34,0.02188,0.99502,,
35,0.02209,0.98889,,
36,0.06377,0.96721,,
37,0.06462,0.96825,,
38,0.03148,0.97814,,
39,0.01337,0.99487,,
40,0.02767,0.98148,,
41,0.04732,0.97619,,
42,0.0694,0.97701,,
43,0.0168,0.97959,,
44,0.08873,0.96135,,
45,0.01472,0.98649,,
46,0.05242,0.97403,,
47,0.00907,1.0,,
48,0.01619,1.0,,
49,0.03888,0.98485,,
50,0.04299,0.99291,,
51,0.01716,0.99487,,
52,0.03154,0.98462,,
53,0.0399,0.99034,,
54,0.01442,0.9951,,
55,0.05253,0.97143,,
56,0.04015,0.98198,,
57,0.03326,0.98361,,
58,0.08272,0.95152,,
59,0.06273,0.96923,,
60,0.0198,0.9951,,
61,0.05236,0.97354,,
62,0.02506,0.9902,,
63,0.00688,1.0,,
64,0.02685,0.99405,,
65,0.0022,1.0,,
66,0.01566,0.98851,,
67,0.08001,0.96491,,
68,0.03532,0.98851,,
69,0.04139,0.98174,,
70,0.05632,0.9661,,
71,0.06387,0.97354,,
72,0.02919,0.98649,,
73,0.04712,0.97814,,
74,0.04205,0.96667,,
75,0.03961,0.98582,,
76,0.02914,0.97549,,
77,0.03751,0.98361,,
78,0.07076,0.97778,,
79,0.03134,0.98889,,
80,0.05397,0.98122,,
81,0.02353,0.99415,,
82,0.07925,0.98113,,
83,0.01939,0.99359,,
84,0.08931,0.95758,,
85,0.07224,0.9801,,
86,0.03866,0.98485,,
87,0.02713,0.99123,,
88,0.06853,0.95758,,
89,0.07009,0.97354,,
90,0.03999,0.9697,,
91,0.02208,0.98788,,
92,0.02033,0.98246,,
93,0.00794,0.99415,,
94,0.02864,0.98333,,
95,0.07679,0.95628,,
96,0.05074,0.98333,,
97,0.07876,0.9596,,
98,0.02508,0.98438,,
99,0.05037,0.9693,,
100,0.02842,0.97576,,
101,0.06201,0.98361,0.04634,0.73438
102,0.09157,0.97126,,
103,0.02612,0.99359,,
104,0.0394,0.97701,,
105,0.10024,0.95402,,
106,0.01715,0.99425,,
107,0.03938,0.98958,,
108,0.08294,0.95977,,
109,0.0424,0.97312,,
110,0.02411,0.98958,,
111,0.04172,0.98592,,
112,0.12355,0.94624,,
113,0.03256,0.97884,,
114,0.01931,0.99425,,
115,0.03077,0.98246,,
116,0.11016,0.95062,,
117,0.01179,1.0,,
118,0.06799,0.96667,,
119,0.05356,0.97101,,
120,0.01473,0.99487,,
121,0.04104,0.98907,,
122,0.04935,0.97396,,
123,0.04322,0.97814,,
124,0.02247,0.99333,,
125,0.07842,0.95699,,
126,0.04386,0.97835,,
127,0.06843,0.97076,,
128,0.02974,0.98667,,
129,0.06284,0.97849,,
130,0.02593,0.99603,,
131,0.01855,0.98519,,
132,0.08786,0.96714,,
133,0.05512,0.98039,,
134,0.033,0.98907,,
135,0.04499,0.97549,,
136,0.04897,0.97959,,
137,0.04974,0.96914,,
138,0.03208,0.9887,,
139,0.05611,0.9697,,
140,0.07535,0.96795,,
141,0.04481,0.97884,,
142,0.06986,0.9801,,
143,0.03758,0.98305,,
144,0.10369,0.96175,,
145,0.06736,0.97512,,
146,0.14512,0.94872,,
147,0.0375,0.98214,,
148,0.02389,0.98387,,
149,0.01999,0.98765,,
150,0.06385,0.96923,,
151,0.05759,0.97222,,
152,0.03734,0.98974,,
153,0.12155,0.95977,,
154,0.03333,0.98907,,
155,0.06109,0.96721,,
156,0.07937,0.97126,,
157,0.03956,0.9902,,
158,0.08146,0.96517,,
159,0.02087,0.99517,,
160,0.09305,0.95977,,
161,0.03075,0.98,,
162,0.11147,0.96667,,
163,0.09469,0.98276,,
164,0.04582,0.98182,,
165,0.0315,0.99061,,
166,0.03095,0.98276,,
167,0.0357,0.97531,,
168,0.06106,0.9774,,
169,0.0199,0.99495,,
170,0.04758,0.96825,,
171,0.07049,0.97436,,
172,0.07697,0.97849,,
173,0.04989,0.97333,,
174,0.05657,0.97076,,
175,0.07671,0.9697,,
176,0.01926,1.0,,
177,0.06243,0.97333,,
178,0.06138,0.97126,,
179,0.0424,0.99359,,
180,0.04196,0.97778,,
181,0.06263,0.96825,,
182,0.04356,0.98387,,
183,0.03964,0.98693,,
184,0.08202,0.96667,,
185,0.05092,0.97126,,
186,0.1183,0.95897,,
187,0.05827,0.97826,,
188,0.02494,0.98693,,
189,0.04823,0.97778,,
190,0.06554,0.96226,,
191,0.06242,0.9697,,
192,0.07493,0.9774,,
193,0.06972,0.9697,,
194,0.08488,0.9537,,
195,0.08382,0.95897,,
196,0.1,0.97354,,
197,0.05597,0.97354,,
198,0.13014,0.95322,,
199,0.08295,0.98214,,
200,0.05584,0.97354,,
201,0.02858,0.98571,0.02121,0.78571
202,0.04261,0.97748,,
203,0.01722,0.99005,,
204,0.08554,0.96354,,
205,0.02285,0.98462,,
206,0.04071,0.98148,,
207,0.07193,0.96552,,
208,0.11403,0.93939,,
209,0.05618,0.98958,,
210,0.09205,0.96465,,
211,0.07826,0.96721,,
212,0.02291,0.98182,,
213,0.01958,0.99259,,
214,0.02394,0.99005,,
215,0.04798,0.97368,,
216,0.0341,0.9887,,
217,0.03088,0.9887,,
218,0.06547,0.97268,,
219,0.02485,0.99061,,
220,0.06306,0.94545,,
221,0.03748,0.98198,,
222,0.02382,0.99454,,
223,0.03784,0.98174,,
224,0.10605,0.96154,,
225,0.02582,0.98198,,
226,0.00566,1.0,,
227,0.09223,0.95714,,
228,0.06125,0.97037,,
229,0.10094,0.97436,,
230,0.06527,0.98113,,
231,0.14525,0.94366,,
232,0.07344,0.9774,,
233,0.02106,0.99371,,
234,0.06776,0.96237,,
235,0.08715,0.96296,,
236,0.05756,0.97222,,
237,0.04915,0.97396,,
238,0.01396,0.99454,,
239,0.04066,0.97222,,
240,0.05758,0.98068,,
241,0.02728,0.98925,,
242,0.03963,0.98333,,
243,0.02136,0.9887,,
244,0.01561,0.99259,,
245,0.05442,0.98276,,
246,0.01875,0.99454,,
247,0.12269,0.9641,,
248,0.08554,0.96667,,
249,0.09325,0.94359,,
250,0.08594,0.96296,,
251,0.02322,0.99394,,
252,0.01362,0.99415,,
253,0.08367,0.96855,,
254,0.07568,0.94686,,
255,0.02726,0.9902,,
256,0.0593,0.97268,,
257,0.04806,0.96552,,
258,0.05015,0.97163,,
259,0.01883,0.98765,,
260,0.10064,0.94949,,
261,0.06819,0.96774,,
262,0.02745,0.98462,,
263,0.05052,0.98214,,
264,0.04301,0.98529,,
265,0.0429,0.98551,,
266,0.04553,0.97849,,
267,0.09319,0.9801,,
268,0.02463,0.98333,,
269,0.01529,1.0,,
270,0.05959,0.9661,,
271,0.05186,0.97717,,
272,0.0294,0.99444,,
273,0.0275,0.99405,,
274,0.02007,0.99531,,
275,0.03988,0.98182,,
276,0.06549,0.97076,,
277,0.02613,0.97917,,
278,0.08659,0.97333,,
279,0.04487,0.97807,,
280,0.09705,0.95767,,
281,0.00896,0.99435,,
282,0.01457,1.0,,
283,0.08623,0.95628,,
284,0.09166,0.95897,,
285,0.03289,0.98485,,
286,0.11212,0.96774,,
287,0.04778,0.97333,,
288,0.13747,0.95,,
289,0.08645,0.97685,,
290,0.12956,0.95238,,
291,0.07856,0.95833,,
292,0.05314,0.97585,,
293,0.05293,0.98174,,
294,0.06733,0.95556,,
295,0.05943,0.97884,,
296,0.06311,0.98095,,
297,0.05552,0.96825,,
298,0.02821,0.98246,,
299,0.05276,0.97653,,
300,0.0462,0.96855,,
301,0.07715,0.96914,0.04368,0.75758
302,0.02754,0.98718,,
303,0.04718,0.98113,,
304,0.03803,0.98889,,
305,0.04934,0.98246,,
306,0.01312,0.99333,,
307,0.05316,0.97024,,
308,0.02954,0.98182,,
309,0.0414,0.97917,,
310,0.06529,0.97126,,
311,0.01007,0.99444,,
312,0.1155,0.95714,,
313,0.12334,0.97619,,
314,0.03058,0.9932,,
315,0.00972,0.99275,,
316,0.03175,0.97949,,
317,0.02901,0.98925,,
318,0.16639,0.9235,,
319,0.03317,0.97661,,
320,0.10112,0.96465,,
321,0.02239,0.99371,,
322,0.06858,0.97436,,
323,0.02444,0.99394,,
324,0.0154,0.98851,,
325,0.03529,0.98387,,
326,0.12962,0.94608,,
327,0.02057,0.98039,,
328,0.09043,0.96175,,
329,0.07043,0.97531,,
330,0.06715,0.96078,,
331,0.06167,0.96569,,
332,0.05752,0.97333,,
333,0.07097,0.97717,,
334,0.05968,0.97475,,
335,0.13116,0.93237,,
336,0.07929,0.96732,,
337,0.10691,0.94737,,
338,0.05273,0.95918,,
339,0.07051,0.96795,,
340,0.05848,0.98068,,
341,0.01439,0.99495,,
342,0.06723,0.97436,,
343,0.05578,0.97076,,
344,0.02608,0.99405,,
345,0.06656,0.98276,,
346,0.02553,0.99394,,
347,0.01898,0.98765,,
348,0.11017,0.96296,,
349,0.0939,0.97436,,
350,0.05498,0.97717,,
351,0.06423,0.97059,,
352,0.02476,0.99259,,
353,0.04333,0.96721,,
354,0.03959,0.98246,,
355,0.05418,0.98214,,
356,0.08269,0.97222,,
357,0.01859,0.99543,,
358,0.04565,0.97619,,
359,0.10079,0.94969,,
360,0.07763,0.95833,,
361,0.01832,0.99487,,
362,0.05871,0.96667,,
363,0.10565,0.97024,,
