step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,0.13047,0.9321,0.083,0.72667
2,0.11888,0.94118,,
3,0.10164,0.94545,,
4,0.06885,0.96429,,
5,0.06714,0.9801,,
6,0.08835,0.95714,,
7,0.0938,0.95175,,
8,0.07634,0.97436,,
9,0.05443,0.97222,,
10,0.03647,0.98667,,
11,0.11264,0.9434,,
12,0.12207,0.93878,,
13,0.08742,0.9548,,
14,0.11491,0.93678,,
15,0.06891,0.97015,,
16,0.06555,0.97884,,
17,0.09784,0.94624,,
18,0.08611,0.95062,,
19,0.15805,0.92121,,
20,0.11329,0.94737,,
21,0.08123,0.94805,,
22,0.09703,0.95425,,
23,0.05448,0.97512,,
24,0.06764,0.98276,,
25,0.05989,0.98387,,
26,0.06452,0.97268,,
27,0.09438,0.9619,,
28,0.0525,0.96465,,
29,0.09343,0.95775,,
30,0.10702,0.93478,,
31,0.0594,0.96795,,
32,0.10784,0.9434,,
33,0.04957,0.97279,,
34,0.07152,0.97561,,
35,0.09612,0.96045,,
36,0.0899,0.96429,,
37,0.14497,0.94118,,
38,0.09055,0.95139,,
39,0.07233,0.97126,,
40,0.06902,0.95745,,
41,0.07686,0.96721,,
42,0.05207,0.98113,,
43,0.08761,0.95833,,
44,0.11467,0.96347,,
45,0.11199,0.9381,,
46,0.10128,0.95322,,
47,0.12221,0.96721,,
48,0.13616,0.93443,,
49,0.08407,0.95402,,
50,0.07665,0.97917,,
51,0.0556,0.96847,,
52,0.10847,0.95238,,
53,0.08991,0.94737,,
54,0.07821,0.95628,,
55,0.04264,0.97701,,
56,0.06827,0.97268,,
57,0.15589,0.92063,,
58,0.07344,0.97222,,
59,0.13185,0.94872,,
60,0.09089,0.95522,,
61,0.07472,0.96429,,
62,0.13925,0.94064,,
63,0.03876,0.98413,,
64,0.08445,0.96237,,
65,0.07144,0.96875,,
66,0.09416,0.95833,,
67,0.10129,0.95402,,
68,0.13739,0.93846,,
69,0.06894,0.96825,,
70,0.08439,0.95775,,
71,0.13046,0.94444,,
72,0.05088,0.98095,,
73,0.06162,0.98077,,
74,0.05714,0.95385,,
75,0.07459,0.96855,,
76,0.06773,0.96364,,
77,0.06346,0.96855,,
78,0.07775,0.96429,,
79,0.1263,0.94064,,
80,0.11317,0.95833,,
81,0.09501,0.97126,,
82,0.08272,0.95305,,
83,0.07351,0.97312,,
84,0.0766,0.96135,,
85,0.12633,0.95333,,
86,0.08583,0.95152,,
87,0.06952,0.96759,,
88,0.09121,0.95906,,
89,0.10051,0.9548,,
90,0.09844,0.94271,,
91,0.12411,0.95402,,
92,0.13942,0.95402,,
93,0.08613,0.93878,,
94,0.10675,0.97396,,
95,0.13832,0.93004,,
96,0.05812,0.9697,,
97,0.11155,0.94253,,
98,0.18743,0.90909,,
99,0.11177,0.95062,,
100,0.10913,0.95238,,
101,0.13324,0.94048,0.14443,0.6875
102,0.13956,0.91228,,
103,0.13821,0.93243,,
104,0.13618,0.91935,,
105,0.09461,0.94444,,
106,0.07385,0.97512,,
107,0.14511,0.92857,,
108,0.12114,0.9548,,
109,0.08888,0.9661,,
110,0.13213,0.92821,,
111,0.07666,0.96154,,
112,0.10109,0.95556,,
113,0.06126,0.97368,,
114,0.07323,0.96396,,
115,0.10381,0.93939,,
116,0.10447,0.9375,,
117,0.09123,0.96618,,
118,0.10904,0.9641,,
119,0.04258,0.98214,,
120,0.12985,0.95238,,
121,0.1454,0.93229,,
122,0.06035,0.98039,,
123,0.10155,0.96078,,
124,0.09374,0.95152,,
125,0.0496,0.97619,,
126,0.11633,0.94558,,
127,0.08186,0.95906,,
128,0.10181,0.95885,,
129,0.09121,0.95906,,
130,0.07986,0.97436,,
131,0.1059,0.92361,,
132,0.11144,0.92929,,
133,0.09351,0.93333,,
134,0.11999,0.94444,,
135,0.08608,0.95652,,
136,0.09365,0.94444,,
137,0.1028,0.94359,,
138,0.0896,0.96226,,
139,0.11459,0.95556,,
140,0.16174,0.94558,,
141,0.11758,0.96667,,
142,0.07076,0.98214,,
143,0.09496,0.96175,,
144,0.08316,0.96135,,
145,0.10689,0.9375,,
146,0.17553,0.92424,,
147,0.07386,0.95238,,
148,0.12871,0.95652,,
149,0.11012,0.94444,,
150,0.11547,0.93889,,
151,0.11438,0.93122,,
152,0.15484,0.9023,,
153,0.10851,0.94444,,
154,0.10065,0.95522,,
155,0.10766,0.94,,
156,0.17247,0.91667,,
157,0.09077,0.96454,,
158,0.16211,0.92949,,
159,0.07924,0.98095,,
160,0.12368,0.94536,,
161,0.12297,0.93333,,
162,0.15612,0.91905,,
163,0.08011,0.96667,,
164,0.08167,0.96825,,
165,0.10984,0.93989,,
166,0.11968,0.95169,,
167,0.07061,0.98148,,
168,0.12164,0.93434,,
169,0.06655,0.95699,,
170,0.12653,0.92982,,
171,0.09183,0.96154,,
172,0.14871,0.92529,,
173,0.09681,0.94359,,
174,0.09476,0.96135,,
175,0.03031,0.97949,,
176,0.09593,0.95758,,
177,0.08413,0.95425,,
178,0.10721,0.95161,,
179,0.08757,0.96296,,
180,0.14026,0.91549,,
181,0.12606,0.96111,,
182,0.09727,0.95628,,
183,0.17545,0.89474,,
184,0.11865,0.94792,,
185,0.05886,0.9845,,
186,0.118,0.93989,,
187,0.15222,0.93443,,
188,0.14035,0.92121,,
189,0.15921,0.9321,,
190,0.13314,0.93056,,
191,0.13897,0.92754,,
192,0.18631,0.90476,,
193,0.07108,0.95906,,
194,0.10134,0.93333,,
195,0.0943,0.95897,,
196,0.08904,0.96354,,
197,0.07643,0.96825,,
198,0.12983,0.93785,,
199,0.11774,0.93567,,
