step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
226,0.0575,0.9697,,
227,0.08711,0.95152,,
228,0.03799,0.97484,,
229,0.04794,0.98246,,
230,0.0852,0.96714,,
231,0.04247,0.96875,,
232,0.07521,0.96714,,
233,0.05284,0.98148,,
234,0.13913,0.94527,,
235,0.05956,0.97727,,
236,0.10112,0.95977,,
237,0.11467,0.95714,,
238,0.09068,0.96732,,
239,0.0768,0.97076,,
240,0.09104,0.95671,,
241,0.08726,0.97059,,
242,0.08445,0.97076,,
243,0.0989,0.95714,,
244,0.0673,0.97576,,
245,0.1029,0.94444,,
246,0.07391,0.97046,,
247,0.04541,0.98068,,
248,0.04495,0.98,,
249,0.04987,0.97778,,
250,0.09891,0.97024,,
251,0.04656,0.9641,,
252,0.04196,0.98148,,
253,0.04318,0.9801,,
254,0.05505,0.97222,,
255,0.0712,0.95425,,
256,0.08145,0.96111,,
257,0.13246,0.93981,,
258,0.09751,0.95946,,
259,0.06027,0.97354,,
260,0.20019,0.92708,,
261,0.1094,0.94686,,
262,0.13362,0.93567,,
263,0.08582,0.96774,,
264,0.11059,0.94667,,
265,0.07155,0.95513,,
266,0.07401,0.9641,,
267,0.05434,0.98592,,
268,0.05878,0.97024,,
269,0.04187,0.97661,,
270,0.13333,0.92982,,
271,0.02354,1.0,,
272,0.08935,0.9661,,
273,0.10314,0.96825,,
274,0.0506,0.98077,,
275,0.05426,0.97484,,
276,0.11098,0.96296,,
277,0.06328,0.98113,,
278,0.12448,0.94643,,
279,0.14353,0.92929,,
280,0.04987,0.98788,,
281,0.09364,0.95714,,
282,0.05138,0.98333,,
283,0.04667,0.98639,,
284,0.0871,0.95758,,
285,0.10168,0.94527,,
286,0.12634,0.95238,,
287,0.03577,0.98246,,
288,0.05542,0.9899,,
289,0.03906,0.99074,,
290,0.07435,0.9661,,
291,0.03935,0.98485,,
292,0.06355,0.97268,,
293,0.09634,0.95305,,
294,0.02564,0.9881,,
295,0.03721,0.98214,,
296,0.0928,0.95628,,
297,0.03177,0.98667,,
298,0.10327,0.95977,,
299,0.09497,0.95767,,
300,0.08241,0.9641,,
301,0.17079,0.96899,0.05403,0.75758
302,0.06688,0.95833,,
303,0.14346,0.93827,,
304,0.07859,0.96078,,
305,0.0656,0.96226,,
306,0.05158,0.98361,,
307,0.08975,0.94521,,
308,0.11107,0.94624,,
309,0.03148,0.98068,,
310,0.09454,0.95139,,
311,0.11691,0.9596,,
312,0.07489,0.97015,,
313,0.03094,0.98148,,
314,0.12272,0.95522,,
315,0.113,0.94949,,
316,0.12159,0.96078,,
317,0.15733,0.95385,,
318,0.07223,0.97222,,
319,0.04869,0.96914,,
320,0.10208,0.95025,,
321,0.08823,0.96078,,
322,0.10517,0.96552,,
323,0.05303,0.97222,,
324,0.0909,0.95025,,
325,0.07259,0.97268,,
326,0.05103,0.97949,,
327,0.06198,0.96491,,
328,0.11115,0.95714,,
329,0.04811,0.97701,,
330,0.07473,0.97059,,
331,0.03525,0.99123,,
332,0.03452,0.98246,,
333,0.0547,0.96226,,
334,0.06762,0.97576,,
335,0.08684,0.9537,,
336,0.0417,0.97826,,
337,0.02383,0.98276,,
338,0.11191,0.94709,,
339,0.1326,0.94828,,
340,0.06043,0.98276,,
341,0.07257,0.97312,,
342,0.02416,0.98462,,
343,0.10014,0.96444,,
344,0.07636,0.95906,,
345,0.05633,0.96517,,
346,0.14127,0.92529,,
347,0.06722,0.96491,,
348,0.04184,0.97653,,
349,0.09498,0.96135,,
350,0.06188,0.95897,,
351,0.0735,0.9881,,
352,0.03859,0.99346,,
353,0.0923,0.94667,,
354,0.06665,0.96244,,
355,0.08524,0.96721,,
356,0.05366,0.97814,,
357,0.07851,0.96875,,
358,0.06304,0.9697,,
359,0.06136,0.96667,,
360,0.05539,0.98354,,
361,0.08793,0.96569,,
362,0.0818,0.97222,,
363,0.06955,0.9697,,
364,0.13722,0.94086,,
365,0.07533,0.97619,,
366,0.12835,0.93023,,
367,0.08573,0.97436,,
368,0.16037,0.9204,,
369,0.03916,0.98974,,
370,0.02223,0.98958,,
371,0.05164,0.97849,,
372,0.05598,0.9899,,
373,0.05672,0.97685,,
374,0.05931,0.97015,,
375,0.05999,0.96429,,
376,0.05569,0.96774,,
377,0.14198,0.93137,,
378,0.10784,0.93056,,
379,0.03515,0.9774,,
380,0.03993,0.98693,,
381,0.0672,0.9774,,
382,0.09994,0.97354,,
383,0.0799,0.94444,,
384,0.13175,0.95312,,
385,0.0695,0.96795,,
386,0.05576,0.97653,,
387,0.05918,0.9801,,
388,0.05594,0.98122,,
389,0.04558,0.96899,,
390,0.17946,0.95238,,
391,0.04371,0.98529,,
392,0.14002,0.95333,,
393,0.07827,0.97484,,
394,0.04625,0.98551,,
395,0.05473,0.98387,,
396,0.13451,0.93011,,
397,0.09962,0.95513,,
398,0.02242,0.98387,,
399,0.07615,0.96667,,
400,0.05943,0.97619,,
401,0.02176,0.98765,0.10527,0.70833
402,0.08548,0.95588,,
403,0.0618,0.96569,,
404,0.0565,0.97549,,
405,0.04255,0.98925,,
406,0.04502,0.95833,,
407,0.11254,0.95833,,
408,0.03984,0.9899,,
409,0.08617,0.9697,,
410,0.04371,0.9774,,
411,0.07025,0.9697,,
412,0.06539,0.98039,,
413,0.06325,0.96914,,
414,0.04485,0.97354,,
415,0.08073,0.96429,,
416,0.0476,0.97884,,
417,0.06462,0.96569,,
418,0.07549,0.98413,,
419,0.07128,0.96154,,
420,0.06428,0.96618,,
421,0.06661,0.96491,,
422,0.05302,0.98174,,
423,0.07461,0.95918,,
424,0.04642,0.98387,,
425,0.11279,0.94118,,
426,0.05851,0.97222,,
427,0.07107,0.96111,,
428,0.07517,0.97748,,
429,0.09629,0.95977,,
430,0.10522,0.95238,,
431,0.03583,0.98276,,
432,0.07539,0.97549,,
433,0.05455,0.98851,,
434,0.07798,0.96855,,
435,0.05826,0.97661,,
436,0.02528,0.98851,,
437,0.09459,0.94372,,
438,0.07043,0.9697,,
439,0.09307,0.95139,,
440,0.08177,0.95495,,
441,0.05616,0.97268,,
442,0.0939,0.95767,,
443,0.09579,0.94536,,
444,0.04965,0.97512,,
445,0.06791,0.97436,,
446,0.09782,0.93678,,
447,0.0317,0.98113,,
448,0.11217,0.95679,,
449,0.02964,0.98113,,
450,0.19147,0.9209,,
451,0.03775,0.98148,,
452,0.1027,0.94,,
453,0.03418,0.99415,,
454,0.07616,0.96354,,
455,0.07604,0.9661,,
456,0.05894,0.96364,,
457,0.11911,0.94828,,
458,0.06301,0.96491,,
459,0.07938,0.95628,,
460,0.05654,0.98361,,
461,0.11877,0.93548,,
462,0.05106,0.98974,,
463,0.07868,0.97585,,
464,0.06643,0.96923,,
465,0.05777,0.97268,,
466,0.06148,0.96721,,
467,0.07469,0.97183,,
468,0.03718,0.98039,,
469,0.04434,0.97576,,
470,0.07501,0.98374,,
471,0.13757,0.94737,,
472,0.0956,0.96135,,
473,0.09161,0.96078,,
474,0.11121,0.94624,,
475,0.08666,0.96599,,
476,0.07797,0.96759,,
477,0.06771,0.97436,,
478,0.08025,0.96429,,
479,0.07,0.97949,,
480,0.04269,0.98485,,
481,0.09775,0.96618,,
482,0.04796,0.99454,,
483,0.09995,0.95758,,
484,0.17768,0.92778,,
485,0.06643,0.96667,,
486,0.09036,0.98148,,
487,0.07134,0.97015,,
488,0.08096,0.94872,,
489,0.03855,0.98742,,
490,0.02181,0.98718,,
491,0.05091,0.97126,,
492,0.01696,1.0,,
493,0.03882,0.97531,,
494,0.09669,0.96347,,
495,0.07176,0.96759,,
496,0.04692,0.97835,,
497,0.06701,0.97512,,
498,0.17232,0.92188,,
499,0.04638,0.97884,,
500,0.10235,0.96923,,
501,0.03852,0.97279,0.05113,0.72414
502,0.07828,0.98507,,
503,0.09679,0.96825,,
504,0.06712,0.97396,,
505,0.0303,0.98788,,
506,0.0751,0.96923,,
507,0.03994,0.97312,,
508,0.07399,0.9548,,
509,0.06916,0.97354,,
510,0.07754,0.96721,,
511,0.08017,0.96517,,
512,0.07645,0.97814,,
513,0.09512,0.95522,,
514,0.08166,0.96078,,
515,0.06865,0.97268,,
516,0.03949,0.97674,,
517,0.08858,0.94969,,
