step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
225,0.23334,0.88855,,
226,0.23678,0.87452,,
227,0.23195,0.88906,,
228,0.22348,0.88051,,
229,0.241,0.87747,,
230,0.20472,0.90795,,
231,0.22922,0.88516,,
232,0.23118,0.88094,,
233,0.25506,0.86789,,
234,0.2375,0.88115,,
235,0.2363,0.88425,,
236,0.248,0.86925,,
237,0.26411,0.86208,,
238,0.2478,0.87368,,
239,0.25191,0.87575,,
240,0.21245,0.89196,,
241,0.23332,0.8878,,
242,0.20808,0.90581,,
243,0.24623,0.87273,,
244,0.2392,0.87459,,
245,0.21549,0.90226,,
246,0.25464,0.86105,,
247,0.24451,0.87813,,
248,0.23349,0.88322,,
249,0.24993,0.87653,,
250,0.2543,0.86051,,
251,0.2462,0.87495,,
252,0.2268,0.88511,,
253,0.23351,0.88663,,
254,0.22215,0.88581,,
255,0.23452,0.88495,,
256,0.26377,0.86965,,
257,0.23409,0.88377,,
258,0.25008,0.86883,,
259,0.23116,0.88485,,
260,0.23815,0.87429,,
261,0.2459,0.86191,,
262,0.24201,0.88006,,
263,0.18976,0.90824,,
264,0.23935,0.88913,,
265,0.2136,0.89425,,
266,0.24815,0.86385,,
267,0.23623,0.88922,,
268,0.23921,0.88508,,
269,0.23344,0.88925,,
270,0.25087,0.88131,,
271,0.22166,0.88662,,
272,0.23655,0.87881,,
273,0.19754,0.9095,,
274,0.22001,0.88278,,
275,0.25486,0.8871,,
276,0.21938,0.90103,,
277,0.23812,0.88897,,
278,0.24279,0.87982,,
279,0.22046,0.88911,,
280,0.23254,0.88645,,
281,0.23381,0.88976,,
282,0.21991,0.89165,,
283,0.23947,0.89113,,
284,0.2264,0.89044,,
285,0.25792,0.86241,,
286,0.21254,0.89338,,
287,0.19969,0.89426,,
288,0.24381,0.87391,,
289,0.22509,0.8877,,
290,0.22205,0.88828,,
291,0.22019,0.88941,,
292,0.21736,0.8856,,
293,0.22808,0.88246,,
294,0.22215,0.89388,,
295,0.23656,0.87281,,
296,0.22171,0.89711,,
297,0.20059,0.90208,,
298,0.17826,0.91514,,
299,0.2267,0.88859,,
300,0.22793,0.886,,
301,0.21893,0.89045,0.22266,0.66816
302,0.18986,0.91616,,
303,0.22448,0.89772,,
304,0.22457,0.89821,,
305,0.23719,0.88458,,
306,0.22232,0.89213,,
307,0.20539,0.89255,,
308,0.23136,0.87901,,
309,0.21622,0.89758,,
310,0.20463,0.90451,,
311,0.25593,0.8674,,
312,0.20981,0.89725,,
313,0.23476,0.88448,,
314,0.22588,0.88956,,
315,0.2174,0.89606,,
316,0.22543,0.89873,,
317,0.20157,0.89988,,
318,0.25171,0.87007,,
319,0.20836,0.90191,,
320,0.22911,0.88639,,
321,0.24896,0.88753,,
322,0.18231,0.91167,,
323,0.2135,0.89628,,
324,0.20906,0.8931,,
325,0.20193,0.90517,,
326,0.22543,0.88646,,
327,0.19292,0.90545,,
328,0.22451,0.89611,,
